aa	 -aa
karsisaa	- -kar-s-isaa
karsisaan	- -kar-s-isaan
kašaaee	- -ka-š-aa-ee
kašimee	- -ka-š-im-ee
kašindee	- -ka-š-ind-ee
kašinee	- -ka-š-in-ee
kaširee	- -ka-š-ir-ee
kašisee	- -ka-š-is-ee
kašt	- -ka-št
kaštaa	- -ka-št-aa
kaštee	- -ka-št-ee
kaštind	- -ka-št-ind
kaštindaa	- -ka-št-ind-aa
kaštindee	- -ka-št-ind-ee
kaštinn	- -ka-št-inn
kaštinnaa	- -ka-št-inn-aa
kaštinnee	- -ka-št-inn-ee
kaštiss	- -ka-št-iss
kaštissaa	- -ka-št-iss-aa
kaštissee	- -ka-št-iss-ee
kaštom	- -ka-št-om
kaštomaa	- -ka-št-om-aa
kaštomee	- -ka-št-om-ee
kaštor	- -ka-št-or
kaštoraa	- -ka-št-or-aa
kaštoree	- -ka-št-or-ee
keer	 -keer
keera	 -keera
keerà	 -keerà
keeree	 -keeree
keerom	 -keer-om
keeromaa	 -keer-omaa
keeromaan	 -keer-omaan
keeror	 -keer-or
keeroraa	 -keer-oraa
keeroraan	 -keer-oraan
keeros	 -keer-os
keerosaa	 -keer-osaa
keerosaan	 -keer-osaan
kii	 -kii
krà	- -k-r-à
kraa	- -k-r-aa
kree	- -k-r-ee
kreen	- -k-r-een
kreenaa	- -k-r-een-aa
kreend	- -k-r-eend
kreendaa	- -k-r-eend-aa
kreendim	- -k-r-eend-im
kreendimaa	- -k-r-eend-imaa
kreenee	- -k-r-een-ee
kreenim	- -k-r-een-im
kreenimaa	- -k-r-een-imaa
kreenimaan	- -k-r-een-imaan
kreenir	- -k-r-een-ir
kreeniraa	- -k-r-een-iraa
kreeniraan	- -k-r-een-iraan
kreenis	- -k-r-een-is
kreenisaa	- -k-r-een-isaa
kreenisaan	- -k-r-een-isaan
krees	- -k-r-ees
kreesaa	- -k-r-ees-aa
krom	- -k-r-om
kromaa	- -k-r-om-aa
kroomee	- -k-r-oom-ee
kror	- -k-r-or
kroraa	- -k-r-or-aa
kros	- -k-r-os
kross	- -k-r-os-s
là	- -l-à
lee	- -l-ee
lee	- -l-ee
lee	- -l-ee
leen	- -l-een
ma	 -ma
mà	 -mà
mee	- -m-ee
mor	 -mor
naam	- -naa-m
ndee	- -nd-ee
nee	- -n-ee
očaa	- -o-č-aa
oččaa	- -o-čč-aa
oččim	- -o-čč-im
oččin	- -o-čč-in
oččind	- -o-čč-ind
oččir	- -o-čč-ir
oččis	- -o-čč-is
očer	- -o-č-er
očim	- -o-č-im
očimir	- -o-č-im-ir
očin	- -o-č-in
očind	- -o-č-ind
očir	- -o-č-ir
očis	- -o-č-is
om	 -o-m
omaa	 -o-maa
omaan	 -o-maan
omee	- -o-m-ee
ondee	- -o-nd-ee
ondis	- -ond-is
onee	- -o-n-ee
or	- -o-r
oraa	- -o-raa
oraan	- -o-raan
oree	- -o-r-ee
os	 -o-s
osaa	 -o-saa
osaan	 -o-saan
osee	- -o-s-ee
otii	- -o-tii
owee	- -o-w-ee
rà	- -r-à
raa	- -raa
raa	- -r-aa
rdà	- -rd-à
rdaa	- -rd-aa
rdeen	- -rd-een
rdeenaa	- -rd-een-aa
rdeend	- -rd-eend
rdeendaa	- -rd-eend-aa
rdeendim	- -rd-eend-im
rdeendimaa	- -rd-eend-imaa
rdeendimaa	- -rd-eend-im-aa
rdeendimaan	- -rd-eend-imaan
rdeendimaanaa	- -rd-eend-imaan-aa
rdeendimaanee	- -rd-eend-imaan-ee
rdeendimee	- -rd-eend-im-ee
rdeendir	- -rd-eend-ir
rdeendiraa	- -rd-eend-iraa
rdeendiraa	- -rd-eend-ir-aa
rdeendiraan	- -rd-eend-iraan
rdeendiraanaa	- -rd-eend-iraan-aa
rdeendiraanee	- -rd-eend-iraan-ee
rdeendiree	- -rd-eend-ir-ee
rdeendis	- -rd-eend-is
rdeendisaa	- -rd-eend-isaa
rdeendisaa	- -rd-eend-is-aa
rdeendisaan	- -rd-eend-isaan
rdeendisaanaa	- -rd-eend-isaan-aa
rdeendisaanee	- -rd-eend-isaan-ee
rdeendisee	- -rd-eend-is-ee
rdeenir	- -rd-een-ir
rdeeniraa	- -rd-een-iraa
rdeeniraa	- -rd-een-ir-aa
rdeeniraan	- -rd-een-iraan
rdeeniraanaa	- -rd-een-iraan-aa
rdeeniraanee	- -rd-een-iraan-ee
rdeeniree	- -rd-een-ir-ee
rdeenis	- -rd-een-is
rdeenisaa	- -rd-een-isaa
rdeenisaa	- -rd-een-is-aa
rdeenisaan	- -rd-een-isaan
rdeenisaanaa	- -rd-een-isaan-aa
rdeenisaanee	- -rd-een-isaan-ee
rdeenisee	- -rd-een-is-ee
rdees	- -rd-ees
rdeesaa	- -rd-ees-aa
rdeesim	- -rd-ees-im
rdeesimaa	- -rd-ees-imaa
rdeesimaa	- -rd-ees-im-aa
rdeesimaan	- -rd-ees-imaan
rdeesimaanaa	- -rd-ees-imaan-aa
rdeesimaanee	- -rd-ees-imaan-ee
rdeesimee	- -rd-ees-im-ee
rdeesiraa	- -rd-ees-iraa
rdeesiraan	- -rd-ees-iraan
rdeesiraanaa	- -rd-ees-iraan-aa
rdeesiraanee	- -rd-ees-iraan-ee
rdeesis	- -rd-ees-is
rdeesisaa	- -rd-ees-is-aa
rdeesisee	- -rd-ees-is-ee
rdom	- -rd-om
rdomaa	- -rd-om-aa
rdomir	- -rd-om-ir
rdomiraa	- -rd-om-iraa
rdomiraa	- -rd-om-ir-aa
rdomiraan	- -rd-om-iraan
rdomiraanaa	- -rd-om-iraan-aa
rdomiraanee	- -rd-om-iraan-ee
rdomiree	- -rd-om-ir-ee
rdomis	- -rd-om-is
rdomisaa	- -rd-om-isaa
rdomisaa	- -rd-om-is-aa
rdomisaan	- -rd-om-isaan
rdomisaanaa	- -rd-om-isaan-aa
rdomisaanee	- -rd-om-isaan-ee
rdomisee	- -rd-om-is-ee
rdor	- -rd-or
rdorim	- -rd-or-im
rdorimaa	- -rd-or-imaa
rdorimaa	- -rd-or-im-aa
rdorimaan	- -rd-or-imaan
rdorimaanaa	- -rd-or-imaan-aa
rdorimaanee	- -rd-or-imaan-ee
rdorimee	- -rd-or-im-ee
rdoris	- -rd-or-is
rdorisaa	- -rd-or-isaa
rdorisaa	- -rd-or-is-aa
rdorisaan	- -rd-or-isaan
rdorisaanaa	- -rd-or-isaan-aa
rdorisaanee	- -rd-or-isaan-ee
rdorisee	- -rd-or-is-ee
rdos	- -rd-os
rdosim	- -rd-os-im
rdosimaa	- -rd-os-imaa
rdosimaa	- -rd-os-im-aa
rdosimaan	- -rd-os-imaan
rdosimaanaa	- -rd-os-imaan-aa
rdosimaanee	- -rd-os-imaan-ee
rdosimee	- -rd-os-im-ee
rdosir	- -rd-os-ir
rdosiraa	- -rd-os-iraa
rdosiraa	- -rd-os-ir-aa
rdosiraan	- -rd-os-iraan
rdosiraanaa	- -rd-os-iraan-aa
rdosiraanee	- -rd-os-iraan-ee
rdosiree	- -rd-os-ir-ee
rdosis	- -rd-os-is
rdosisaa	- -rd-os-isaa
rdosisaa	- -rd-os-is-aa
rdosisaan	- -rd-os-isaan
rdosisaanaa	- -rd-os-isaan-aa
rdosisaanee	- -rd-os-isaan-ee
rdosisee	- -rd-os-is-ee
ree	- -r-ee
reen	- -r-een
reenaa	- -r-een-aa
reend	- -r-eend
reendaa	- -r-eend-aa
reendee	- -r-eend-ee
reendimaa	- -r-eend-imaa
reendimee	- -r-eend-im-ee
reendiree	- -r-eend-ir-ee
reendisee	- -r-eend-is-ee
reendis	- -r-eend-is
rees	- -r-ees
reesaa	- -r-ees-aa
rom	- -r-om
romaa	- -r-om-aa
roomee	- -r-oom-ee
ror	- -r-or
roraa	- -r-or-aa
ros	- -r-os
sa	 -sa
saa	 -saa
šaa	- -š-aa
šaaee	- -š-aa-ee
saan	- -saan
see	- -see
šee	- -š-ee
šim	- -š-im
šimee	- -š-im-ee
šin	- -š-in
šind	- -š-ind
šindee	- -š-ind-ee
šinee	- -š-in-ee
inee	- -in-ee
šir	- -š-ir
širee	- -š-ir-ee
šis	- -š-is
šisee	- -š-is-ee
ssa	- -ssa
ššaa	- -šš-aa
ššaaee	- -šš-aa-ee
ššim	- -šš-im
ššimee	- -šš-im-ee
ššin	- -šš-in
ššind	- -šš-ind
ššindee	- -šš-ind-ee
ššinee	- -šš-in-ee
ššir	- -šš-ir
šširee	- -šš-ir-ee
ššis	- -šš-is
ššisee	- -šš-is-ee
št	- -št
štaa	- -št-aa
štee	- -št-ee
štind	- -št-ind
štindaa	- -št-ind-aa
štindee	- -št-ind-ee
štinn	- -št-inn
štinnaa	- -št-inn-aa
štinnee	- -št-inn-ee
štiss	- -št-iss
štissaa	- -št-iss-aa
štissee	- -št-iss-ee
štom	- -št-om
štomaa	- -št-om-aa
štomee	- -št-om-ee
štor	- -št-or
štoraa	- -št-or-aa
štoree	- -št-or-ee
ta	 -ta
tà	 -tà
tar	 -tar
ttà	- -tt-à
ttaa	- -tt-aa
tteen	- -tt-een
tteenaa	- -tt-een-aa
tteend	- -tt-eend
tteendaa	- -tt-eend-aa
ttees	- -tt-ees
tteesaa	- -tt-ees-aa
ttom	- -tt-om
ttomaa	- -tt-om-aa
ttor	- -tt-or
ttoraa	- -tt-or-aa
va	 -va
vaa	 -vaa
vaar	 -vaar
ya	 -ya
yaa	 -yaa
yaan	 -yaan
yaaraa	- -yaa-r-aa
yaaree	- -yaa-r-ee
yi	 -yi
yiin	 -yiin
yin	 -yin
yis	 -yis
yiš	 -yiš
ašee	aš-ee
aštaa	ašt-aa
aštaa	ašt-aa
aštee	ašt-ee
aštee	ašt-ee
paaṣi	paaṣ-i
paaṣii	paaṣ-ii
paaṣom	paaṣ-om
paaṣomaa	paaṣ-omaa
paaṣomaan	paaṣ-omaan
paaṣor	paaṣ-or
paaṣoraa	paaṣ-oraa
paaṣoraan	paaṣ-oraan
paaṣyaa	paaṣ-yaa
paaṣyaan	paaṣ-yaan
pačom	pač-om
pačomaa	pač-omaa
pačomaan	pač-omaan
pačor	pač-or
pačoraa	pač-oraa
pačoraan	pač-oraan
pačos	pač-os
pačosaa	pač-osaa
pačosaan	pač-osaan
tità	tit-à
tom	t-om
tor	t-or
tos	t-os
vaaši	vaaš-i
vaašii	vaaš-ii
vaašom	vaaš-om
vaašor	vaaš-or
vaašyaa	vaaš-yaa
vaašyaan	vaaš-yaan
vagrom	vagr-om
vagromaa	vagr-omaa
vagromaan	vagr-omaan
vagror	vagr-or
vagroraa	vagr-oraa
vagroraan	vagr-oraan
vagros	vagr-os
vagrosaa	vagr-osaa
vagrosaan	vagr-osaan
vati	vat-i
vatii	vat-ii
vatom	vat-om
vatomaa	vat-omaa
vatomaan	vat-omaan
vator	vat-or
vatoraa	vat-oraa
vatoraan	vat-oraan
vatyaa	vat-yaa
vatyaan	vat-yaan
veešii	veeš-ii
veešom	veeš-om
veešomaa	veeš-omaa
veešomaan	veeš-omaan
veešor	veeš-or
veešoraa	veeš-oraa
veešoraan	veeš-oraan
veešyaa	veeš-yaa
aakkii	 -aak-kii
aborkeeree	ab-or -keeree
karindee	- -kar-ind-ee
karmee	- -kar-m-ee
adii	 -adii
yim	  -yim
eesaa	 -ee-saa
leend	 - -l-eend
im	 -im
menjii	menj-ii
eesaan	 -ee-saan
naa	 -- -n-aa
aardeendimaan	- -aa-rd-eend-imaan
išnee	- -iš-n-ee
aandee	- -aa-nd-ee
kaanya	kaany-a
kaanyaa	kaany-aa
kaanyee	kaany-ee
omkii	 -o-m -kii
orkii	 -o-r -kii
oskii	 -o-s -kii
kaanyee	kaany-ee
kaanyaa	kaany-aa
abomaakeeree	ab-omaa -keeree
naadà	- -naa-d-à
naadaa	- -naa-d-aa
naadee	- -naa-d-ee
naadeen	- -naa-d-een
naadeenaa	- -naa-d-een-aa
naadeenee	- -naa-d-een-ee
naadeend	- -naa-d-eend
naadeendaa	- -naa-d-eend-aa
naadeendee	- -naa-d-eend-ee
naadeendisee	- -naa-d-eend-is-ee
naadeendisaa	- -naa-d-eend-is-aa
naadeendim	- -naa-d-eend-im
naadeendimee	- -naa-d-eend-im-ee
naadeendimaa	- -naa-d-eend-im-aa
naadeendiree	- -naa-d-eend-ir-ee
naadeendiraa	- -naa-d-eend-ir-aa
naadees	- -naa-d-ees
naadeesaa	- -naa-d-ees-aa
naadeesee	- -naa-d-ees-ee
naadom	- -naa-d-om
naadomaa	- -naa-d-om-aa
naadomee	- -naa-d-om-ee
naador	- -naa-d-or
naadoree	- -naa-d-or-ee
naados	- -naa-d-os
naadosim	- -naa-d-os-im
naadosir	- -naa-d-os-ir
naadosis	- -naa-d-os-is
naadosimaa	- -naa-d-os-imaa
naadosiraa	- -naa-d-os-iraa
naadosisaa	- -naa-d-os-isaa
naadosimaan	- -naa-d-os-imaan
naadosiraan	- -naa-d-os-iraan
naadosisaan	- -naa-d-os-isaan
naainaa	- -naa-in-aa
naainee	- -naa-in-ee
naaindaa	- -naa-ind-aa
naaindee	- -naa-ind-ee
naaisaa	- -naa-is-aa
naaisee	- -naa-is-ee
naam	- -naa-m
naamaa	- -naa-m-aa
naamee	- -naa-m-ee
naandaa	- -naa-nd-aa
naandee	- -naa-nd-ee
naandisee	- -naa-nd-is-ee
naandisaa	- -naa-nd-is-aa
naandis	- -naa-nd-is
naar	- -naa-r
naaraa	- -naa-r-aa
naaree	- -naa-r-ee
naarà	- -naa-r-à
naardà	- -naa-rd-à
naardaa	- -naa-rd-aa
naardee	- -naa-rd-ee
naardeen	- -naa-rd-een
naardeenaa	- -naa-rd-een-aa
naardeenee	- -naa-rd-een-ee
naardeend	- -naa-rd-eend
naardeendaa	- -naa-rd-eend-aa
naardeendee	- -naa-rd-eend-ee
naardees	- -naa-rd-ees
naardeesaa	- -naa-rd-ees-aa
naardeesee	- -naa-rd-ees-ee
naardom	- -naa-rd-om
naardomaa	- -naa-rd-om-aa
naardomee	- -naa-rd-om-ee
naardor	- -naa-rd-or
naardoree	- -naa-rd-or-ee
naardos	- -naa-rd-os
naaav	- -naaav
naar	- -naar
naavištaa	- -naav-išt-aa
naavištee	- -naav-išt-ee
naavištind	- -naav-išt-ind
indaa	- -ind-aa
naavištindaa	- -naav-išt-ind-aa
naavištindee	- -naav-išt-ind-ee
naavištinn	- -naav-išt-inn
naavištinnaa	- -naav-išt-inn-aa
naavištinnee	- -naav-išt-inn-ee
naavištirsee	- -naav-išt-ir-s-ee
naavištiss	- -naav-išt-iss
naavištissaa	- -naav-išt-iss-aa
naavištissee	- -naav-išt-iss-ee
naavištom	- -naav-išt-om
naavištomaa	- -naav-išt-om-aa
naavištomee	- -naav-išt-om-ee
naavištor	- -naav-išt-or
naavištoraa	- -naav-išt-or-aa
naavištoree	- -naav-išt-or-ee
misaanaa	- -m-isaan-aa
indsaa	- -ind-s-aa
aadà	- -aa-d-à
aadeend	- -aa-d-eend
aadeenis	- -aa-d-een-is
aardà	- -aa-rd-à
aardeendimaan	- -aa-rd-eend-imaan
aamaa	- -aa-m-aa
irdoss	- -ird-os-s
ištirree	- -išt-ir-r-ee
wosaa	- -w-osaa
ortà	-o-r -tà
omtà	-o-m -tà
ostà	-o-s -tà
oraantà	-o-raan -tà
oraatà	-o-raa -tà
omaantà	-o-maan -tà
nsaa	- -n-saa
omaatà	-o-maa -tà
osaantà	-o-saan -tà
osaatà	-o-saa -tà
isisaanaa	- -is-isaan-aa
isisaaaa	- -is-isaa-aa
isisaanee	- -is-isaan-ee
isisaaee	- -is-isaa-ee
isisaan	- -is-isaan
isisaa	- -is-isaa
ossee	- -os-s-ee
romis	- -r-om-is
karsaa	- -kar-s-aa
karnaa	- -kar-n-aa
